Posittion,RaceName,SeasonYear,RaceNumber,RaceDate,DriverFirstName,DriverLastName,DriverID,StartingGridNumb,ConstructorName
1,Australian Grand Prix,2015,1,2015-03-15,Lewis,Hamilton,hamilton,1,Mercedes
1,Malaysian Grand Prix,2015,2,2015-03-29,Sebastian,Vettel,vettel,2,Ferrari
1,Chinese Grand Prix,2015,3,2015-04-12,Lewis,Hamilton,hamilton,1,Mercedes
1,Bahrain Grand Prix,2015,4,2015-04-19,Lewis,Hamilton,hamilton,1,Mercedes
1,Spanish Grand Prix,2015,5,2015-05-10,Nico,Rosberg,rosberg,1,Mercedes
1,Monaco Grand Prix,2015,6,2015-05-24,Nico,Rosberg,rosberg,2,Mercedes
1,Canadian Grand Prix,2015,7,2015-06-07,Lewis,Hamilton,hamilton,1,Mercedes
1,Austrian Grand Prix,2015,8,2015-06-21,Nico,Rosberg,rosberg,2,Mercedes
1,British Grand Prix,2015,9,2015-07-05,Lewis,Hamilton,hamilton,1,Mercedes
1,Hungarian Grand Prix,2015,10,2015-07-26,Sebastian,Vettel,vettel,3,Ferrari
1,Belgian Grand Prix,2015,11,2015-08-23,Lewis,Hamilton,hamilton,1,Mercedes
1,Italian Grand Prix,2015,12,2015-09-06,Lewis,Hamilton,hamilton,1,Mercedes
1,Singapore Grand Prix,2015,13,2015-09-20,Sebastian,Vettel,vettel,1,Ferrari
1,Japanese Grand Prix,2015,14,2015-09-27,Lewis,Hamilton,hamilton,2,Mercedes
1,Russian Grand Prix,2015,15,2015-10-11,Lewis,Hamilton,hamilton,2,Mercedes
1,United States Grand Prix,2015,16,2015-10-25,Lewis,Hamilton,hamilton,2,Mercedes
1,Mexican Grand Prix,2015,17,2015-11-01,Nico,Rosberg,rosberg,1,Mercedes
1,Brazilian Grand Prix,2015,18,2015-11-15,Nico,Rosberg,rosberg,1,Mercedes
1,Abu Dhabi Grand Prix,2015,19,2015-11-29,Nico,Rosberg,rosberg,1,Mercedes
1,Australian Grand Prix,2016,1,2016-03-20,Nico,Rosberg,rosberg,2,Mercedes
1,Bahrain Grand Prix,2016,2,2016-04-03,Nico,Rosberg,rosberg,2,Mercedes
1,Chinese Grand Prix,2016,3,2016-04-17,Nico,Rosberg,rosberg,1,Mercedes
1,Russian Grand Prix,2016,4,2016-05-01,Nico,Rosberg,rosberg,1,Mercedes
1,Spanish Grand Prix,2016,5,2016-05-15,Max,Verstappen,max_verstappen,4,Red Bull
1,Monaco Grand Prix,2016,6,2016-05-29,Lewis,Hamilton,hamilton,3,Mercedes
1,Canadian Grand Prix,2016,7,2016-06-12,Lewis,Hamilton,hamilton,1,Mercedes
1,European Grand Prix,2016,8,2016-06-19,Nico,Rosberg,rosberg,1,Mercedes
1,Austrian Grand Prix,2016,9,2016-07-03,Lewis,Hamilton,hamilton,1,Mercedes
1,British Grand Prix,2016,10,2016-07-10,Lewis,Hamilton,hamilton,1,Mercedes
1,Hungarian Grand Prix,2016,11,2016-07-24,Lewis,Hamilton,hamilton,2,Mercedes
1,German Grand Prix,2016,12,2016-07-31,Lewis,Hamilton,hamilton,2,Mercedes
